clip,split,face_ratio_mean,face_ratio_std,facing_front_frac,head_down_frac,nose_conf_mean,nose_x_std,nose_y_std,eye_conf_mean,eye_nose_dist_mean,eye_nose_dist_std,nose_to_shoulder_mean,nose_to_shoulder_std,shoulder_width_mean,shoulder_width_std,move_mean,move_max,big_moves,longest_still,still_frac,movement_drift
1100011002.avi,Train,0.5564084401399175,0.04762737098034982,1.0,0.0,0.9714775065581004,0.03995838436210103,0.013343889702911465,0.9813049525022507,0.09295841129633889,0.0033615593264185,0.48232410583907837,0.024179594666413916,0.9460852483177227,0.025362441764346634,0.013626848194675453,0.07364471806949864,4,5,0.5084745762711864,0.0025342747462448884
1100011003.avi,Train,0.5382148532650846,0.020909009891420548,1.0,0.0,0.9581327120463053,0.018603798545748205,0.012039093855929894,0.9769031455119451,0.10267826798680903,0.0060073555936521915,0.45529640072914357,0.009301454176329653,0.9111430272314446,0.030063501948107522,0.005854823109399867,0.02166233199378619,3,9,0.5084745762711864,-0.0019499347117322525
1100011004.avi,Train,0.5362954962212421,0.01377509777629534,1.0,0.0,0.9634800771872203,0.017374114116810436,0.009383989581986153,0.9788353855411212,0.10601280413659268,0.004226015422902801,0.45395329821694647,0.011113819292520876,0.896391951829911,0.0332789310610722,0.0070664235306683,0.026366066649014416,3,9,0.5084745762711864,-0.003097115541060979
1100011005.avi,Train,0.5577602522300822,0.020719175510095972,1.0,0.0,0.9653819282849629,0.02022474970863412,0.012205990061789587,0.9796300674478213,0.10180550353692266,0.003585395215911428,0.48029197956666586,0.010990996175121998,0.9047332231458796,0.030925249590665546,0.00840415152230933,0.04157432576436047,3,5,0.5084745762711864,0.0020152873324550177
1100011006.avi,Train,0.5666236012004624,0.03373119018316616,1.0,0.0,0.9762572854757309,0.048000542582230785,0.02809086824166748,0.9822948858141899,0.09420318532040707,0.005029553832914175,0.48824768605014984,0.012468676112059806,0.903064305000315,0.038644396419908536,0.014953374629058973,0.08568364941576329,2,6,0.5084745762711864,0.016678639366073566
1100011007.avi,Train,0.5834833926746046,0.017585701278616427,1.0,0.0,0.9706754664580027,0.025261589648334824,0.016640282903066468,0.9796310196320216,0.09743704142882813,0.0027828097299150813,0.47735835702901824,0.0074139542617792705,0.9412870049270649,0.024461483305136592,0.011474138763058316,0.10507197286616772,3,8,0.5084745762711864,-0.01268112478586943
1100011008.avi,Train,0.571615479831491,0.007524784837731797,1.0,0.0,0.9707620749870937,0.009817913638747202,0.005573073199238344,0.9811966508626938,0.10090374830752777,0.0017620440232278738,0.47649703752779043,0.003988150111850532,0.9283456105129918,0.02182537507375604,0.004222756901726875,0.0185710908751396,2,5,0.5084745762711864,0.0005907707714193997
1100011009.avi,Train,0.5959438036276674,0.01512377053969448,1.0,0.0,0.9720134735107422,0.019641207951961157,0.008593829528194895,0.9807960604627927,0.10088162677273295,0.0033605321883461233,0.4750766819072354,0.008295395937320198,0.9525478067799765,0.021711852263587215,0.006096492226246797,0.03805928864924387,2,6,0.5084745762711864,-0.0025138016564871368
1100011010.avi,Train,0.5875294523540494,0.013987332414291289,1.0,0.0,0.9677331527074178,0.011810138857846422,0.012714259202934543,0.979029040535291,0.10192364418470937,0.0030587408480066804,0.47077515633914335,0.007802864492074109,0.9805026123988339,0.03858426847346842,0.009618382008323392,0.03232910890870797,4,11,0.5084745762711864,0.0028966335239779158
1100011011.avi,Train,0.5882871335204888,0.02522385194865037,1.0,0.0,0.9624208341042201,0.028490724112669463,0.01568164376508264,0.9759294430414835,0.10037113975845498,0.003655908559560595,0.47338381814453884,0.010734026291016175,0.9341053428676651,0.04709774119218964,0.009268911446987256,0.037270039552237746,5,4,0.5084745762711864,-0.007038986888222315
