clip,face_ratio_mean,face_ratio_std,facing_front_frac,head_down_frac,nose_conf_mean,nose_x_std,nose_y_std,eye_conf_mean,eye_nose_dist_mean,eye_nose_dist_std,nose_to_shoulder_mean,nose_to_shoulder_std,shoulder_width_mean,shoulder_width_std,move_mean,move_max,big_moves,longest_still,still_frac,movement_drift
1100011002.avi,0.5564084401399175,0.04762737098034982,1.0,0.0,0.9714775065581004,0.03995838436210103,0.013343889702911465,0.9813049525022507,0.09295841129633889,0.0033615593264185,0.48232410583907837,0.024179594666413916,0.9460852483177227,0.025362441764346634,0.013626848194675453,0.07364471806949864,4,5,0.5084745762711864,0.0025342747462448884
1100011003.avi,0.5382148532650846,0.020909009891420548,1.0,0.0,0.9581327120463053,0.018603798545748205,0.012039093855929894,0.9769031455119451,0.10267826798680903,0.0060073555936521915,0.45529640072914357,0.009301454176329653,0.9111430272314446,0.030063501948107522,0.005854823109399867,0.02166233199378619,3,9,0.5084745762711864,-0.0019499347117322525
1100011004.avi,0.5362954962212421,0.01377509777629534,1.0,0.0,0.9634800771872203,0.017374114116810436,0.009383989581986153,0.9788353855411212,0.10601280413659268,0.004226015422902801,0.45395329821694647,0.011113819292520876,0.896391951829911,0.0332789310610722,0.0070664235306683,0.026366066649014416,3,9,0.5084745762711864,-0.003097115541060979
1100011005.avi,0.5577602522300822,0.020719175510095972,1.0,0.0,0.9653819282849629,0.02022474970863412,0.012205990061789587,0.9796300674478213,0.10180550353692266,0.003585395215911428,0.48029197956666586,0.010990996175121998,0.9047332231458796,0.030925249590665546,0.00840415152230933,0.04157432576436047,3,5,0.5084745762711864,0.0020152873324550177
1100011006.avi,0.5666236012004624,0.03373119018316616,1.0,0.0,0.9762572854757309,0.048000542582230785,0.02809086824166748,0.9822948858141899,0.09420318532040707,0.005029553832914175,0.48824768605014984,0.012468676112059806,0.903064305000315,0.038644396419908536,0.014953374629058973,0.08568364941576329,2,6,0.5084745762711864,0.016678639366073566
1100011007.avi,0.5834833926746046,0.017585701278616427,1.0,0.0,0.9706754664580027,0.025261589648334824,0.016640282903066468,0.9796310196320216,0.09743704142882813,0.0027828097299150813,0.47735835702901824,0.0074139542617792705,0.9412870049270649,0.024461483305136592,0.011474138763058316,0.10507197286616772,3,8,0.5084745762711864,-0.01268112478586943
1100011008.avi,0.571615479831491,0.007524784837731797,1.0,0.0,0.9707620749870937,0.009817913638747202,0.005573073199238344,0.9811966508626938,0.10090374830752777,0.0017620440232278738,0.47649703752779043,0.003988150111850532,0.9283456105129918,0.02182537507375604,0.004222756901726875,0.0185710908751396,2,5,0.5084745762711864,0.0005907707714193997
1100011009.avi,0.5959438036276674,0.01512377053969448,1.0,0.0,0.9720134735107422,0.019641207951961157,0.008593829528194895,0.9807960604627927,0.10088162677273295,0.0033605321883461233,0.4750766819072354,0.008295395937320198,0.9525478067799765,0.021711852263587215,0.006096492226246797,0.03805928864924387,2,6,0.5084745762711864,-0.0025138016564871368
1100011010.avi,0.5875294523540494,0.013987332414291289,1.0,0.0,0.9677331527074178,0.011810138857846422,0.012714259202934543,0.979029040535291,0.10192364418470937,0.0030587408480066804,0.47077515633914335,0.007802864492074109,0.9805026123988339,0.03858426847346842,0.009618382008323392,0.03232910890870797,4,11,0.5084745762711864,0.0028966335239779158
1100011011.avi,0.5882871335204888,0.02522385194865037,1.0,0.0,0.9624208341042201,0.028490724112669463,0.01568164376508264,0.9759294430414835,0.10037113975845498,0.003655908559560595,0.47338381814453884,0.010734026291016175,0.9341053428676651,0.04709774119218964,0.009268911446987256,0.037270039552237746,5,4,0.5084745762711864,-0.007038986888222315
1100011012.avi,0.6019788116760504,0.01334712947518612,1.0,0.0,0.9667100916306178,0.0162724558797037,0.016105757064129794,0.9767943153778712,0.10240451985759313,0.004283425713969089,0.4713435775753268,0.010945943563165288,0.8947860110827872,0.01371899489774347,0.006556522352382494,0.03918264867598271,1,6,0.5084745762711864,0.002930034133871556
1100011013.avi,0.5811320563197397,0.01364153586947398,1.0,0.0,0.9588005950053533,0.021913133718019367,0.012247177010186829,0.9740895882248879,0.10332459027777038,0.00479003536502296,0.46975868233593293,0.009730977942549597,0.9193384035454313,0.0376159183587414,0.0069465659381116596,0.03200997347545585,3,5,0.5084745762711864,0.0011850445639641563
1100011014.avi,0.5782444306816956,0.015018171794181332,1.0,0.0,0.9650834272305171,0.01124632496970278,0.0077123461155792095,0.9789217054843903,0.11108671141811409,0.0018931633369745,0.4559862593756852,0.005901307796806221,0.9469326610115308,0.02490229834528716,0.0047816261787684425,0.02696556016839402,4,4,0.5084745762711864,-0.003072837847178713
1100011015.avi,0.5773252230596806,0.00630468956869429,1.0,0.0,0.9547642678022384,0.006170859900612073,0.006854984989565807,0.9716898694634437,0.10970329754872796,0.0022862945598664517,0.44884391389719375,0.008301098263100862,0.9097663901224426,0.047548446579852015,0.005292613520633251,0.023801959044051777,2,6,0.5084745762711864,-0.0006756540962637456
1100011016.avi,0.603674347789035,0.017833036999699414,1.0,0.0,0.9666692366202673,0.020699105365664622,0.021012311259401846,0.9756495227416356,0.1035292114468975,0.005480101464422056,0.46886471889598874,0.015717520766052935,0.908628828413876,0.043213750270922516,0.014302012495724672,0.04662211895730869,4,10,0.5084745762711864,0.006219684261245471
1100011017.avi,0.6277027907321459,0.010798424936842316,1.0,0.0,0.9687809417645137,0.009415903674692253,0.0090540915270788,0.9752914776404699,0.10552893418309332,0.003739775976494145,0.4625451983378894,0.008069282082578693,0.8964250897163709,0.02025971497634282,0.005105026446966218,0.022164979826802125,2,3,0.5084745762711864,0.0008781759379915812
1100011018.avi,0.6153985723129077,0.008735855080138525,1.0,0.0,0.9656341910362244,0.00835092024144606,0.011986441095157025,0.9748207087318103,0.10796047512396284,0.003265033618818127,0.4567071997346054,0.008780600259650577,0.9147991758578556,0.023203763689994612,0.008212010569467009,0.0423637286227314,2,5,0.5084745762711864,-0.0021933720514793215
1100011019.avi,0.6240803014896982,0.020240952777018047,1.0,0.0,0.9738346666097641,0.01951867574368796,0.017118964691347476,0.9787638942400615,0.10671323791589656,0.0039021679019412437,0.462034563303294,0.011925009429549362,0.9304789676526073,0.029689084404403293,0.012489959708515757,0.05854267070660243,4,7,0.5084745762711864,0.0027220815677169493
1100011020.avi,0.6422904414122891,0.015439176365165367,1.0,0.0,0.972875960667928,0.020498944721562357,0.010526644341916283,0.97784064412117,0.10756975252229242,0.00319872347188547,0.4585650587412453,0.007472429581238485,0.9589784556741937,0.02902903688013262,0.009214381667967666,0.05244116025999958,1,9,0.5084745762711864,-0.00892227991666878
1100011021.avi,0.6253632433157837,0.021934558565435372,1.0,0.0,0.9750086257855097,0.022249744073674617,0.008002074304595782,0.979838149746259,0.10570040046172009,0.003322699462882159,0.4605060514175451,0.00887832583584837,0.9883139759769543,0.030994252717794192,0.0056468709190887175,0.04064619841922694,2,8,0.5084745762711864,-0.004232898287503485
1100011022.avi,0.632561523168074,0.010353867406335128,1.0,0.0,0.9755938192208607,0.007008476646073243,0.0071169352986167524,0.9799924383560816,0.10463729993958291,0.0037734371775196666,0.46793977233706363,0.006949433239541839,0.9216070224125745,0.03650187034713131,0.006145585130353486,0.04005941074202606,2,9,0.5084745762711864,0.0033904681994904266
1100011023.avi,0.6387950055293043,0.011192553682347544,1.0,0.0,0.9735137939453125,0.005775400709977603,0.005973826444906447,0.9766874740521113,0.10161758685913967,0.0045626600106056,0.44892367136915784,0.0167127126074918,0.8476459316054888,0.05530631564154537,0.006295399981163477,0.03598867297319753,4,4,0.5084745762711864,0.0006385151991453704
