subject,n_clips,accuracy,disengaged_clips,disengaged_recall,predicted_engaged_rate
826412,75,73.3,24,0.417,0.787
510035,84,86.9,8,0.0,0.964
987736,38,89.5,4,0.0,1.0
510034,81,90.1,8,0.125,0.975
510040,112,92.9,7,0.0,0.991
500067,126,93.7,8,0.0,1.0
500095,112,93.8,7,0.0,1.0
928901,75,94.7,4,0.25,0.973
500044,119,96.6,3,0.0,0.992
510046,122,96.7,2,0.0,0.984
510047,83,97.6,2,0.0,1.0
940328,60,98.3,1,0.0,1.0
510009,84,98.8,1,0.0,1.0
510045,88,98.9,1,0.0,1.0
510038,124,100.0,0,,1.0
510037,31,100.0,0,,1.0
510042,129,100.0,0,,1.0
